path_id,name,origin_seq,destination_seq,direction,traction_class,priority_weight,earliest_dep_min,latest_dep_min,notes
UP_00,Crewe -> Parkside SRFI @ 00xx,0,11,up,class6,1.0,0,59,STEER Route 3 target: 20 Up tpd
DN_00,Parkside SRFI -> Crewe @ 00xx,11,0,down,class6,1.0,0,59,STEER Route 3 target: 20 Down tpd
UP_01,Crewe -> Parkside SRFI @ 01xx,0,11,up,class6,1.0,60,119,STEER Route 3 target: 20 Up tpd
DN_01,Parkside SRFI -> Crewe @ 01xx,11,0,down,class6,1.0,60,119,STEER Route 3 target: 20 Down tpd
UP_02,Crewe -> Parkside SRFI @ 02xx,0,11,up,class6,1.0,120,179,STEER Route 3 target: 20 Up tpd
DN_02,Parkside SRFI -> Crewe @ 02xx,11,0,down,class6,1.0,120,179,STEER Route 3 target: 20 Down tpd
UP_03,Crewe -> Parkside SRFI @ 03xx,0,11,up,class6,1.0,180,239,STEER Route 3 target: 20 Up tpd
DN_03,Parkside SRFI -> Crewe @ 03xx,11,0,down,class6,1.0,180,239,STEER Route 3 target: 20 Down tpd
UP_04,Crewe -> Parkside SRFI @ 04xx,0,11,up,class6,1.0,240,299,STEER Route 3 target: 20 Up tpd
DN_04,Parkside SRFI -> Crewe @ 04xx,11,0,down,class6,1.0,240,299,STEER Route 3 target: 20 Down tpd
UP_05,Crewe -> Parkside SRFI @ 05xx,0,11,up,class6,1.0,300,359,STEER Route 3 target: 20 Up tpd
DN_05,Parkside SRFI -> Crewe @ 05xx,11,0,down,class6,1.0,300,359,STEER Route 3 target: 20 Down tpd
UP_06,Crewe -> Parkside SRFI @ 06xx,0,11,up,class6,1.0,360,419,STEER Route 3 target: 20 Up tpd
DN_06,Parkside SRFI -> Crewe @ 06xx,11,0,down,class6,1.0,360,419,STEER Route 3 target: 20 Down tpd
UP_07,Crewe -> Parkside SRFI @ 07xx,0,11,up,class6,1.0,420,479,STEER Route 3 target: 20 Up tpd
DN_07,Parkside SRFI -> Crewe @ 07xx,11,0,down,class6,1.0,420,479,STEER Route 3 target: 20 Down tpd
UP_08,Crewe -> Parkside SRFI @ 08xx,0,11,up,class6,1.0,480,539,STEER Route 3 target: 20 Up tpd
DN_08,Parkside SRFI -> Crewe @ 08xx,11,0,down,class6,1.0,480,539,STEER Route 3 target: 20 Down tpd
UP_09,Crewe -> Parkside SRFI @ 09xx,0,11,up,class6,1.0,540,599,STEER Route 3 target: 20 Up tpd
DN_09,Parkside SRFI -> Crewe @ 09xx,11,0,down,class6,1.0,540,599,STEER Route 3 target: 20 Down tpd
UP_10,Crewe -> Parkside SRFI @ 10xx,0,11,up,class6,1.0,600,659,STEER Route 3 target: 20 Up tpd
DN_10,Parkside SRFI -> Crewe @ 10xx,11,0,down,class6,1.0,600,659,STEER Route 3 target: 20 Down tpd
UP_11,Crewe -> Parkside SRFI @ 11xx,0,11,up,class6,1.0,660,719,STEER Route 3 target: 20 Up tpd
DN_11,Parkside SRFI -> Crewe @ 11xx,11,0,down,class6,1.0,660,719,STEER Route 3 target: 20 Down tpd
UP_12,Crewe -> Parkside SRFI @ 12xx,0,11,up,class6,1.0,720,779,STEER Route 3 target: 20 Up tpd
DN_12,Parkside SRFI -> Crewe @ 12xx,11,0,down,class6,1.0,720,779,STEER Route 3 target: 20 Down tpd
UP_13,Crewe -> Parkside SRFI @ 13xx,0,11,up,class6,1.0,780,839,STEER Route 3 target: 20 Up tpd
DN_13,Parkside SRFI -> Crewe @ 13xx,11,0,down,class6,1.0,780,839,STEER Route 3 target: 20 Down tpd
UP_14,Crewe -> Parkside SRFI @ 14xx,0,11,up,class6,1.0,840,899,STEER Route 3 target: 20 Up tpd
DN_14,Parkside SRFI -> Crewe @ 14xx,11,0,down,class6,1.0,840,899,STEER Route 3 target: 20 Down tpd
UP_15,Crewe -> Parkside SRFI @ 15xx,0,11,up,class6,1.0,900,959,STEER Route 3 target: 20 Up tpd
DN_15,Parkside SRFI -> Crewe @ 15xx,11,0,down,class6,1.0,900,959,STEER Route 3 target: 20 Down tpd
UP_16,Crewe -> Parkside SRFI @ 16xx,0,11,up,class6,1.0,960,1019,STEER Route 3 target: 20 Up tpd
DN_16,Parkside SRFI -> Crewe @ 16xx,11,0,down,class6,1.0,960,1019,STEER Route 3 target: 20 Down tpd
UP_17,Crewe -> Parkside SRFI @ 17xx,0,11,up,class6,1.0,1020,1079,STEER Route 3 target: 20 Up tpd
DN_17,Parkside SRFI -> Crewe @ 17xx,11,0,down,class6,1.0,1020,1079,STEER Route 3 target: 20 Down tpd
UP_18,Crewe -> Parkside SRFI @ 18xx,0,11,up,class6,1.0,1080,1139,STEER Route 3 target: 20 Up tpd
DN_18,Parkside SRFI -> Crewe @ 18xx,11,0,down,class6,1.0,1080,1139,STEER Route 3 target: 20 Down tpd
UP_19,Crewe -> Parkside SRFI @ 19xx,0,11,up,class6,1.0,1140,1199,STEER Route 3 target: 20 Up tpd
DN_19,Parkside SRFI -> Crewe @ 19xx,11,0,down,class6,1.0,1140,1199,STEER Route 3 target: 20 Down tpd
UP_20,Crewe -> Parkside SRFI @ 20xx,0,11,up,class6,1.0,1200,1259,STEER Route 3 target: 20 Up tpd
DN_20,Parkside SRFI -> Crewe @ 20xx,11,0,down,class6,1.0,1200,1259,STEER Route 3 target: 20 Down tpd
UP_21,Crewe -> Parkside SRFI @ 21xx,0,11,up,class6,1.0,1260,1319,STEER Route 3 target: 20 Up tpd
DN_21,Parkside SRFI -> Crewe @ 21xx,11,0,down,class6,1.0,1260,1319,STEER Route 3 target: 20 Down tpd
UP_22,Crewe -> Parkside SRFI @ 22xx,0,11,up,class6,1.0,1320,1379,STEER Route 3 target: 20 Up tpd
DN_22,Parkside SRFI -> Crewe @ 22xx,11,0,down,class6,1.0,1320,1379,STEER Route 3 target: 20 Down tpd
UP_23,Crewe -> Parkside SRFI @ 23xx,0,11,up,class6,1.0,1380,1439,STEER Route 3 target: 20 Up tpd
DN_23,Parkside SRFI -> Crewe @ 23xx,11,0,down,class6,1.0,1380,1439,STEER Route 3 target: 20 Down tpd
